tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date
133P04532,PALMER WASILLA HWY/REILEY AVE,EASTBOUND,AK-3/E PARKS HWY,AK,MATANUSKA-SUSITNA,99654,61.5769376,-149.4096552,61.5773932,-149.4088888,0.040321,1.0,America/Anchorage,P1,USA,141,4,N,3,99998,2,0,4,0,10,10,,12924,752,17,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04520,S VINE RD,NORTHBOUND,W HOLLYWOOD RD,AK,MATANUSKA-SUSITNA,99623,61.532358,-149.601346,61.541626,-149.601696,0.642454,1.0,America/Anchorage,P1,USA,137,5,N,3,99998,2,0,2,0,10,10,,14890,382,117,1,1,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04302,ARLENE ST,NORTHBOUND,W DIMOND BLVD,AK,ANCHORAGE,99502,61.137399,-149.929328,61.137547,-149.929328,0.010222,1.0,America/Anchorage,P1,USA,89,4,N,3,2305,2,0,6,0,10,10,,20033,980,368,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04515,KNIK GOOSE BAY RD,EASTBOUND,HALLIE DR,AK,MATANUSKA-SUSITNA,99623,61.425952,-149.803005,61.500447,-149.665717,7.260838,1.0,America/Anchorage,P1,USA,136,5,N,3,99998,2,0,2,0,10,10,,2371,207,18,1,3,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04308,VICTOR RD,NORTHBOUND,W DIMOND BLVD,AK,ANCHORAGE,99502,61.1373938,-149.9219324,61.137576,-149.921933,0.012589,3.0,America/Anchorage,P1,USA,91,5,N,3,2305,2,0,6,0,10,10,,27010,1321,496,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04516,KNIK GOOSE BAY RD,EASTBOUND,S VINE RD,AK,MATANUSKA-SUSITNA,99623,61.500447,-149.665717,61.532358,-149.601346,3.153514,2.0,America/Anchorage,P1,USA,136,5,N,3,99998,2,0,2,0,10,10,,5304,467,37,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04517,KNIK GOOSE BAY RD,EASTBOUND,EDLUND RD,AK,MATANUSKA-SUSITNA,99623,61.532358,-149.601346,61.55647,-149.488629,4.223819,3.0,America/Anchorage,P1,USA,136,5,N,3,99998,2,0,2,0,10,10,,14944,383,117,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04518,KNIK GOOSE BAY RD,EASTBOUND,AK-3/E PARKS HWY,AK,MATANUSKA-SUSITNA,99654,61.55647,-149.488629,61.580981,-149.4414764,2.571146,4.0,America/Anchorage,P1,USA,136,4,N,3,99998,2,0,2,0,10,10,,15230,395,119,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04314,C ST,NORTHBOUND,O'MALLEY RD,AK,ANCHORAGE,99515,61.122023,-149.8861996,61.1245126,-149.8861066,0.182658,3.0,America/Anchorage,P1,USA,94,3,N,3,2305,1,0,2,0,10,10,,13361,343,104,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04555,BOGARD RD,EASTBOUND,N MAIN ST,AK,MATANUSKA-SUSITNA,99654,61.5849836,-149.4416328,61.5849874,-149.4409694,0.021816,1.0,America/Anchorage,P1,USA,148,4,N,3,99998,2,0,2,0,10,10,,9243,561,204,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04981,23RD,NORTHBOUND,ALASKA ST,AK,SKAGWAY,99840,59.4654114,-135.299,59.4673528,-135.3006524,0.163806,1.0,America/Juneau,P1,USA,4979,3,N,3,99999,2,0,2,98,4,10,,1046,183,76,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04318,OLD SEWARD HWY,NORTHBOUND,AK-1/SEWARD HWY,AK,ANCHORAGE,99516,61.086151,-149.832192,61.088834,-149.836908,0.243242,5.0,America/Anchorage,P1,USA,95,3,N,3,2305,2,0,4,0,10,10,,6031,255,80,1,56,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04500,AK-3,NORTHBOUND,LATHROP ST,AK,FAIRBANKS NORTH STAR,99701,64.8211356,-147.7773516,64.8215594,-147.7459244,0.933163,62.0,America/Anchorage,P1,USA,131,1,N,1,28549,2,0,2,3,4,10,,13834,880,171,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04984,AK-98,NORTHBOUND,STARLIGHT DR,AK,SKAGWAY,99840,59.4673528,-135.3006524,59.484331,-135.284019,1.424269,1.0,America/Juneau,P1,USA,4982,3,N,3,99999,2,0,2,98,4,10,,972,88,31,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04501,AK-3,NORTHBOUND,AK-2/RICHARDSON HWY,AK,FAIRBANKS NORTH STAR,99701,64.821126,-147.742951,64.820391,-147.709272,0.997984,64.0,America/Anchorage,P1,USA,131,1,N,1,28549,2,0,2,3,4,10,,13957,888,172,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04199,AK-1,SOUTHBOUND,AK-4/RICHARDSON HWY (GLENNALLEN) (NORTH),AK,VALDEZ-CORDOVA,99588,62.301557,-145.3048258,62.289115,-145.3530686,1.858751,15.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,503,66,43,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04985,AK-98,NORTHBOUND,USA--CAN NATIONAL BORDER,AK,SKAGWAY,99840,59.484331,-135.284019,59.6362644,-135.1586684,12.163605,2.0,America/Juneau,P3,USA,4982,3,N,3,99999,2,0,2,98,4,10,,376,68,28,1,97,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04198,AK-1,SOUTHBOUND,AK-4/RICHARDSON HWY (GLENNALLEN) (SOUTH),AK,VALDEZ-CORDOVA,99588,62.193494,-145.4454662,62.1090126,-145.4760438,6.051911,17.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,1003,155,100,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04319,OLD SEWARD HWY,NORTHBOUND,DE ARMOUN RD,AK,ANCHORAGE,99515,61.094064,-149.844182,61.094172,-149.844328,0.00891,1.0,America/Anchorage,P1,USA,95,3,N,3,2305,2,0,2,0,10,10,,2361,72,6,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04191,AK-1,SOUTHBOUND,MOKI DR,AK,MATANUSKA-SUSITNA,99674,61.709468,-148.8774626,61.7058146,-148.9474902,2.400114,35.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,2562,185,84,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04190,AK-1,SOUTHBOUND,MILE 58 RD,AK,MATANUSKA-SUSITNA,99674,61.7058146,-148.9474902,61.6927022,-148.9684938,1.198376,36.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,2755,183,81,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04193,AK-1,SOUTHBOUND,FISH LAKE RD,AK,MATANUSKA-SUSITNA,99674,61.7849528,-148.453799,61.7616842,-148.5764814,4.549455,32.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,1964,193,93,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04192,AK-1,SOUTHBOUND,CHICKALOON,AK,MATANUSKA-SUSITNA,99674,61.733843,-148.7504028,61.709468,-148.8774626,4.841878,34.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,1964,193,93,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04195,AK-1,SOUTHBOUND,PINOCHLE LN,AK,MATANUSKA-SUSITNA,99674,61.800156,-147.598893,61.8032326,-147.8516332,9.888977,27.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,1252,82,36,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04194,AK-1,SOUTHBOUND,CHICKALOON BRANCH RD,AK,MATANUSKA-SUSITNA,99674,61.7967162,-148.294503,61.7849528,-148.453799,5.501544,31.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,1471,98,43,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04197,AK-1,SOUTHBOUND,4WD ROAD (PALMER) (NORTH),AK,MATANUSKA-SUSITNA,99674,61.9853164,-146.9587868,61.891652,-147.3335712,14.801436,24.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,836,152,66,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04196,AK-1,SOUTHBOUND,SQUAW CREEK TRL,AK,MATANUSKA-SUSITNA,99674,61.891652,-147.3335712,61.848549,-147.386613,3.608252,25.0,America/Anchorage,P1,USA,65,1,N,1,99999,2,0,2,1,4,10,,838,146,63,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04552,TRUNK RD,NORTHBOUND,E PALMER WASILLA HWY,AK,MATANUSKA-SUSITNA,99645,61.5993686,-149.2377822,61.5994514,-149.2377936,0.005729,3.0,America/Anchorage,P1,USA,147,4,N,3,99998,2,0,2,0,10,10,,13572,840,19,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04325,OLD SEWARD HWY,NORTHBOUND,E TUDOR RD,AK,ANCHORAGE,99503,61.180676,-149.868034,61.180839,-149.868033,0.011259,16.0,America/Anchorage,P1,USA,95,3,N,3,2305,2,0,4,0,10,10,,17851,544,42,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04324,OLD SEWARD HWY,NORTHBOUND,DOWLING RD,AK,ANCHORAGE,99518,61.1663696,-149.8676164,61.1664428,-149.867644,0.005139,14.001,America/Anchorage,P1,USA,95,3,N,3,2305,2,0,4,0,10,10,,17933,546,43,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04323,OLD SEWARD HWY,NORTHBOUND,E DIMOND BLVD,AK,ANCHORAGE,99515,61.1445996,-149.8638668,61.1447554,-149.8638666,0.010762,13.0,America/Anchorage,P1,USA,95,3,N,3,2305,2,0,4,0,10,10,,17753,541,42,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04322,OLD SEWARD HWY,NORTHBOUND,O'MALLEY RD,AK,ANCHORAGE,99515,61.122958,-149.8636078,61.1231718,-149.8636014,0.01477,11.0,America/Anchorage,P1,USA,95,3,N,3,2305,2,0,4,0,10,10,,19081,581,45,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04972,BROADWAY,NORTHBOUND,1ST,AK,SKAGWAY,99840,59.4493244,-135.3247748,59.4531984,-135.3196184,0.327046,1.0,America/Juneau,P1,USA,4970,3,N,3,99999,2,0,2,98,4,10,,445,81,34,1,43,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04975,1ST,NORTHBOUND,STATE ST,AK,SKAGWAY,99840,59.4531984,-135.3196184,59.4538874,-135.3209578,0.066934,1.0,America/Juneau,P1,USA,4973,3,N,3,99999,2,0,2,98,4,10,,3680,0,0,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04978,STATE ST,NORTHBOUND,23RD,AK,SKAGWAY,99840,59.4538874,-135.3209578,59.4654114,-135.299,1.108271,1.0,America/Juneau,P1,USA,4976,3,N,3,99999,2,0,2,98,4,10,,1478,267,111,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04562,WASILLA FISHHOOK RD,NORTHBOUND,N MAIN ST/E NELSON AVE,AK,MATANUSKA-SUSITNA,99654,61.5840946,-149.4414888,61.585382,-149.441939,0.091099,1.0,America/Anchorage,P1,USA,150,4,N,3,99998,2,0,2,0,10,10,,9243,561,204,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04320,OLD SEWARD HWY,NORTHBOUND,HUFFMAN RD,AK,ANCHORAGE,99515,61.108454,-149.8633926,61.1086832,-149.8635438,0.018287,8.0,America/Anchorage,P1,USA,95,3,N,3,2305,2,0,2,0,10,10,,12629,384,30,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133N04280,W DIMOND BLVD,EASTBOUND,JEWEL LAKE RD,AK,ANCHORAGE,99502,61.137408,-149.951991,61.137408,-149.951729,0.008736,2.0,America/Anchorage,P1,USA,81,3,N,3,2305,2,0,4,0,10,10,,20033,980,368,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04960,AK-7,EASTBOUND,MAIN ST,AK,HAINES,99827,59.400049,-135.878901,59.235387,-135.465094,20.227304,2.001,America/Juneau,P1,USA,4956,3,N,3,99999,2,0,2,7,4,10,,446,42,13,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04963,FRONT ST,NORTHBOUND,LUTAK RD,AK,HAINES,99827,59.23477,-135.442368,59.2408856,-135.4359106,0.49179,1.0,America/Juneau,P1,USA,4961,5,N,3,99999,2,0,2,0,10,10,,978,108,31,9,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04966,LUTAK RD,NORTHBOUND,HAINES FERRY,AK,HAINES,99827,59.2408856,-135.4359106,59.2812636,-135.4646864,3.656135,1.0,America/Juneau,P3,USA,4964,3,N,3,99999,2,0,2,0,10,10,,554,60,17,9,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04969,MAIN ST,EASTBOUND,FRONT ST,AK,HAINES,99827,59.235387,-135.465094,59.23477,-135.442368,0.81138,1.0,America/Juneau,P1,USA,4967,3,N,3,99999,2,0,2,7,4,10,,972,69,22,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04105,AK-1,NORTHBOUND,E DOWLING RD,AK,ANCHORAGE,99507,61.1624176,-149.856222,61.169766,-149.8566246,0.508114,54.0,America/Anchorage,P1,USA,65,1,N,1,2305,2,0,4,1,4,10,,42073,1976,730,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04104,AK-1,NORTHBOUND,E DIMOND BLVD,AK,ANCHORAGE,99507,61.1395872,-149.8562776,61.1444938,-149.8563508,0.338964,52.0,America/Anchorage,P1,USA,65,1,N,1,2305,2,0,4,1,4,10,,34264,1609,594,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04346,68TH AVE,EASTBOUND,LAKE OTIS PKWY,AK,ANCHORAGE,99507,61.1592058,-149.834372,61.1591892,-149.8341322,0.008152,1.0,America/Anchorage,P1,USA,102,4,N,3,2305,2,0,4,0,10,10,,17615,452,137,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04103,AK-1,NORTHBOUND,O'MALLEY RD,AK,ANCHORAGE,99507,61.1196918,-149.8562316,61.1276688,-149.856263,0.551057,50.0,America/Anchorage,P1,USA,65,3,N,1,2305,2,0,4,1,4,10,,30930,1452,536,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04102,AK-1,NORTHBOUND,HUFFMAN RD,AK,ANCHORAGE,99516,61.1047748,-149.8463068,61.1127166,-149.8541442,0.608888,48.0,America/Anchorage,P1,USA,65,3,N,1,2305,2,0,4,1,4,10,,24508,1151,425,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133N04273,ABBOTT RD,EASTBOUND,E DIMOND BLVD/CORBIN DR,AK,ANCHORAGE,99507,61.144274,-149.850328,61.144057,-149.849717,0.025321,2.0,America/Anchorage,P1,USA,80,3,N,3,2305,2,0,4,0,10,10,,36522,1974,108,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133N04272,ABBOTT RD,EASTBOUND,LAKE OTIS PKWY,AK,ANCHORAGE,99507,61.1374708,-149.8342188,61.1374776,-149.8340222,0.006574,1.0,America/Anchorage,P1,USA,80,3,N,3,2305,2,0,4,0,10,10,,17988,972,53,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04107,AK-1,NORTHBOUND,E 36TH AVE,AK,ANCHORAGE,99508,61.188025,-149.8649828,61.1881366,-149.8651112,0.008817,58.001,America/Anchorage,P1,USA,65,1,N,1,2305,2,0,6,1,4,10,,21877,1028,380,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133N04275,W DIMOND BLVD,EASTBOUND,AK-1/SEWARD HWY,AK,ANCHORAGE,99507,61.144669,-149.85792,61.144647,-149.852824,0.170212,10.0,America/Anchorage,P1,USA,81,3,N,3,2305,2,0,4,0,10,10,,37700,1717,108,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04106,AK-1,NORTHBOUND,E TUDOR RD,AK,ANCHORAGE,99507,61.1767818,-149.8589382,61.1835308,-149.86113,0.4719,56.0,America/Anchorage,P1,USA,65,1,N,1,2305,2,0,4,1,4,10,,24505,1151,425,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04952,KENAI SPUR HWY,NORTHBOUND,BRIDGE ACCESS RD/MAIN ST LOOP,AK,KENAI PENINSULA,99611,60.4868384,-151.0580874,60.5576712,-151.2418138,10.488966,2.0,America/Anchorage,P1,USA,4950,3,N,3,99999,2,0,4,0,10,10,,10614,949,407,3,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04953,KENAI SPUR HWY,NORTHBOUND,S MILLER LOOP RD,AK,KENAI PENINSULA,99611,60.5576712,-151.2418138,60.6466346,-151.3550628,8.479614,3.0,America/Anchorage,P1,USA,4950,3,N,3,99999,2,0,2,0,10,10,,8510,815,365,3,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04954,KENAI SPUR HWY,NORTHBOUND,N MILLER LOOP RD,AK,KENAI PENINSULA,99611,60.6466346,-151.3550628,60.6756498,-151.3763228,2.144389,4.0,America/Anchorage,P1,USA,4950,3,N,3,99999,2,0,2,0,10,10,,4759,455,204,3,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04955,KENAI SPUR HWY,NORTHBOUND,HOLT LAMPLIGHT RD,AK,KENAI PENINSULA,99611,60.6756498,-151.3763228,60.7360286,-151.249009,7.108223,5.0,America/Anchorage,P1,USA,4950,3,N,4,99999,2,0,2,0,10,10,,3462,302,26,3,75,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04958,AK-7,EASTBOUND,BIG BOULDER RD,AK,HAINES,99827,59.4523482,-136.3641074,59.4339464,-136.1996602,6.358968,2.001,America/Juneau,P1,USA,4956,3,N,3,99999,2,0,2,7,4,10,,132,12,8,1,98,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04959,AK-7,EASTBOUND,CHILKAT AVE,AK,HAINES,99827,59.4339464,-136.1996602,59.400049,-135.878901,12.43958,2.001,America/Juneau,P1,USA,4956,3,N,3,99999,2,0,2,7,4,10,,225,27,14,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04949,PORTAGE GLACIER RD,EASTBOUND,WHITTIER FERRY,AK,VALDEZ-CORDOVA,99686,60.7772652,-148.733019,60.7763674,-148.686107,1.65678,4.0,America/Anchorage,P3,USA,4945,4,N,4,99999,2,0,2,0,10,10,,821,71,6,9,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133N04277,W DIMOND BLVD,EASTBOUND,MINNESOTA DR,AK,ANCHORAGE,99515,61.139527,-149.9101474,61.1403674,-149.9072832,0.111847,6.0,America/Anchorage,P1,USA,81,3,N,3,2305,2,0,6,0,10,10,,30914,1042,218,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133N04276,W DIMOND BLVD,EASTBOUND,C ST,AK,ANCHORAGE,99515,61.144643,-149.887017,61.144636,-149.885973,0.034815,8.0,America/Anchorage,P1,USA,81,3,N,3,2305,2,0,6,0,10,10,,31253,852,70,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133N04279,W DIMOND BLVD,EASTBOUND,ARLENE ST,AK,ANCHORAGE,99502,61.137401,-149.92951,61.137399,-149.929328,0.006071,3.0,America/Anchorage,P1,USA,81,3,N,3,2305,2,0,6,0,10,10,,20033,980,368,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133N04278,W DIMOND BLVD,EASTBOUND,VICTOR RD/NORTHWOOD ST,AK,ANCHORAGE,99502,61.1373938,-149.9219324,61.1374056,-149.919322,0.08706,5.0,America/Anchorage,P1,USA,81,3,N,3,2305,2,0,6,0,10,10,,30919,1512,568,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04101,AK-1,NORTHBOUND,DE ARMOUN RD,AK,ANCHORAGE,99516,61.094082,-149.835716,61.097701,-149.838952,0.272366,46.0,America/Anchorage,P1,USA,65,3,N,1,2305,2,0,4,1,4,10,,22490,1056,390,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04100,AK-1,NORTHBOUND,OLD SEWARD HWY,AK,ANCHORAGE,99516,61.0850934,-149.8329252,61.0907506,-149.8346392,0.398566,44.0,America/Anchorage,P1,USA,65,3,N,1,2305,2,0,4,1,4,10,,13135,616,228,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04358,INTL AIRPORT RD/INTERNATIONAL AIRPORT RD,WESTBOUND,C ST,AK,ANCHORAGE,99503,61.1736556,-149.886182,61.1736694,-149.8865556,0.012477,2.0,America/Anchorage,P1,USA,105,3,N,3,2305,2,0,4,0,10,10,,14540,786,43,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04116,O'MALLEY RD,WESTBOUND,LAKE OTIS PKWY,AK,ANCHORAGE,99507,61.123118,-149.833935,61.123119,-149.834149,0.00714,11.0,America/Anchorage,P1,USA,66,3,N,3,2305,2,0,2,0,10,10,,16724,509,40,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04118,O'MALLEY RD,WESTBOUND,OLD SEWARD HWY,AK,ANCHORAGE,99515,61.1231718,-149.8636014,61.123172,-149.863903,0.01006,8.0,America/Anchorage,P1,USA,66,1,N,3,2305,2,0,4,0,10,10,,19081,581,45,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04359,INTL AIRPORT RD/INTERNATIONAL AIRPORT RD,WESTBOUND,MINNESOTA DR,AK,ANCHORAGE,99517,61.172853,-149.912641,61.1725206,-149.9242706,0.389581,4.0,America/Anchorage,P1,USA,105,3,N,3,2305,2,0,5,0,10,10,,28292,1529,84,2,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04117,O'MALLEY RD,WESTBOUND,AK-1/SEWARD HWY,AK,ANCHORAGE,99507,61.1231388,-149.8545052,61.123142,-149.857742,0.108007,6.0,America/Anchorage,P1,USA,66,1,N,3,2305,2,0,4,0,10,10,,21539,657,53,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04943,AK-7,WESTBOUND,VANDERBILT HILL RD,AK,JUNEAU,99801,58.3299402,-134.4726086,58.3443902,-134.4990924,1.390858,3.001,America/Juneau,P1,USA,212,3,N,3,99998,2,0,4,7,4,10,,22665,2060,664,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04947,PORTAGE GLACIER RD,EASTBOUND,ANTON ANDERSON MEMORIAL TUNNEL (WEST),AK,ANCHORAGE,99631,60.819066,-148.9754948,60.7889506,-148.803816,6.808803,2.0,America/Anchorage,P3,USA,4945,4,N,4,99999,2,0,2,0,10,10,,1022,96,32,9,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04948,PORTAGE GLACIER RD,EASTBOUND,ANTON ANDERSON MEMORIAL TUNNEL (EAST),AK,ANCHORAGE,99686,60.7889506,-148.803816,60.7772652,-148.733019,2.521524,3.0,America/Anchorage,P3,USA,4945,4,N,4,99999,2,2,1,0,10,10,,836,73,6,9,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04938,AK-7,NORTHBOUND,GLACIER HWY,AK,JUNEAU,99801,58.3017886,-134.4254006,58.3189172,-134.452796,1.585298,4.0,America/Juneau,P1,USA,219,3,N,3,99998,2,0,4,7,4,10,,22546,2037,657,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04352,BRAYTON DR,NORTHBOUND,E DIMOND BLVD,AK,ANCHORAGE,99507,61.1447058,-149.8548774,61.1448292,-149.8549598,0.008954,1.0,America/Anchorage,P1,USA,104,4,N,3,2305,2,0,4,0,10,10,,36522,1974,108,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133N04291,RASPBERRY RD,WESTBOUND,NORTHWOOD DR,AK,ANCHORAGE,99502,61.159279,-149.9187706,61.159316,-149.921993,0.107416,2.0,America/Anchorage,P1,USA,85,3,N,3,2305,2,0,5,0,10,10,,24531,1326,73,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04369,MULDOON RD,NORTHBOUND,E TUDOR RD,AK,ANCHORAGE,99504,61.1811862,-149.7411774,61.1813028,-149.7406438,0.019511,3.0,America/Anchorage,P1,USA,107,3,N,3,2305,2,0,4,0,10,10,,20381,1102,60,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04127,MINNESOTA DR,NORTHBOUND,SPENARD RD,AK,ANCHORAGE,99503,61.1867368,-149.9128958,61.1869118,-149.9128986,0.012092,18.0,America/Anchorage,P1,USA,67,1,N,3,2305,2,0,6,0,10,10,,40248,1034,315,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
