tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date
133+04235,AK-1,NORTHBOUND,HOPE HWY,AK,KENAI PENINSULA,99631,60.6143602,-149.5318206,60.7800026,-149.433875,12.428507,36.0,America/Anchorage,P1,USA,65,3,N,1,99999,2,0,2,1,4,10,,5371,514,230,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04478,AK-3,NORTHBOUND,JOHNSONS RD,AK,MATANUSKA-SUSITNA,99623,61.5826258,-149.6320158,61.5692592,-149.70755,2.816973,14.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,2,3,4,10,,12992,1349,410,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04237,C ST,NORTHBOUND,W POTTER DR,AK,ANCHORAGE,99518,61.144759,-149.886705,61.170174,-149.886172,1.757411,2.0,America/Anchorage,P1,USA,76,3,N,3,2305,2,0,4,0,10,10,,19236,494,151,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04479,AK-3,NORTHBOUND,BIG LAKE RD,AK,MATANUSKA-SUSITNA,99623,61.5692592,-149.70755,61.57549,-149.7243,0.726805,15.0,America/Anchorage,P1,USA,131,1,N,1,99999,2,0,3,3,4,10,,12971,1347,409,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04238,C ST,NORTHBOUND,W INTL AIRPORT RD,AK,ANCHORAGE,99518,61.170174,-149.886172,61.1735432,-149.8861816,0.232747,3.0,America/Anchorage,P1,USA,76,3,N,3,2305,2,0,5,0,10,10,,18275,469,143,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04239,C ST,NORTHBOUND,W TUDOR RD,AK,ANCHORAGE,99503,61.1735432,-149.8861816,61.180698,-149.886197,0.494257,4.0,America/Anchorage,P1,USA,76,3,N,3,2305,2,0,6,0,10,10,,18040,467,140,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04262,LAKE OTIS PKWY,NORTHBOUND,PROVIDENCE DR/E 36TH AVE,AK,ANCHORAGE,99508,61.188,-149.838245,61.1881,-149.838241,0.00691,8.0,America/Anchorage,P1,USA,78,3,N,3,2305,2,0,4,0,10,10,,19055,489,149,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04261,LAKE OTIS PKWY,NORTHBOUND,E TUDOR RD,AK,ANCHORAGE,99507,61.180788,-149.838028,61.180933,-149.838033,0.010017,7.0,America/Anchorage,P1,USA,78,3,N,3,2305,2,0,4,0,10,10,,35435,1915,104,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04260,LAKE OTIS PKWY,NORTHBOUND,E DOWLING RD,AK,ANCHORAGE,99507,61.1663668,-149.838024,61.1665554,-149.8380304,0.013036,5.0,America/Anchorage,P1,USA,78,3,N,3,2305,2,0,4,0,10,10,,17615,452,137,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04264,LAKE OTIS PKWY,NORTHBOUND,DEBARR RD/E 15TH AVE,AK,ANCHORAGE,99508,61.207623,-149.83812,61.207771,-149.838127,0.010228,11.0,America/Anchorage,P1,USA,78,3,N,3,2305,2,0,3,0,10,10,,12800,329,100,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133P04263,LAKE OTIS PKWY,NORTHBOUND,E NORTHERN LIGHTS BLVD,AK,ANCHORAGE,99508,61.1952732,-149.8381664,61.1954304,-149.8381682,0.010862,9.0,America/Anchorage,P1,USA,78,3,N,3,2305,2,0,4,0,10,10,,16018,411,125,1,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133+04470,AK-3,NORTHBOUND,FAIRVIEW LOOP/N HYER RD,AK,MATANUSKA-SUSITNA,99645,61.5630444,-149.27596,61.5656558,-149.3075866,1.092358,4.0,America/Anchorage,P1,USA,131,1,N,1,99998,2,0,2,3,4,10,,26706,2066,340,1,100,1,100,1,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04911,AK-7,EASTBOUND,MENDENHALL LOOP RD,AK,JUNEAU,99801,58.381386,-134.6850004,58.3863176,-134.6444026,1.689346,2.0,America/Juneau,P1,USA,212,3,N,3,99998,2,0,2,7,4,10,,6575,556,179,9,96,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04910,AK-7,EASTBOUND,GLACIER HWY/VINTAGE BLVD,AK,JUNEAU,99801,58.3862532,-134.6443284,58.3699882,-134.5978776,2.341388,3.0,America/Juneau,P1,USA,212,3,N,3,99998,2,0,4,7,4,10,,10827,984,317,9,100,0,0,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
133-04913,AK-9,SOUTHBOUND,PORT AVE,AK,KENAI PENINSULA,99664,60.1965304,-149.3720892,60.1217206,-149.4400708,5.926407,5.0,America/Anchorage,P1,USA,213,4,N,3,99999,2,0,2,9,4,10,,5148,493,220,1,100,1,100,0,1,2016-01-01 00:00:00-05:00,2018-01-01 00:00:00-05:00
